lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.032352e-02,4.575720e-03,1.028822e-01,7.983056e-04,6.193514e-03
0.15,1.822025e-02,9.580874e-03,1.601407e-01,1.742243e-03,-1.112245e-03
0.22499999999999998,2.493329e-02,1.430358e-02,2.238077e-01,2.736237e-03,-5.126849e-03
0.3,3.100778e-02,1.898707e-02,2.717475e-01,3.736973e-03,-8.717356e-03
0.375,3.705129e-02,2.409876e-02,3.258282e-01,4.766948e-03,-1.554916e-02
0.44999999999999996,4.404819e-02,2.919255e-02,3.984149e-01,5.885347e-03,-1.650443e-02
0.525,4.960077e-02,3.413178e-02,4.565395e-01,7.102554e-03,-1.773395e-02
0.6,5.303109e-02,3.893614e-02,5.235256e-01,8.363939e-03,-1.918045e-02
0.6749999999999999,5.731188e-02,4.393691e-02,5.970269e-01,9.627128e-03,-1.868658e-02
0.75,6.068039e-02,4.862646e-02,6.647390e-01,1.096768e-02,-2.495939e-02
0.825,6.531366e-02,5.295568e-02,7.480768e-01,1.231624e-02,-2.461345e-02
0.8999999999999999,6.824975e-02,5.681734e-02,8.096101e-01,1.372213e-02,-2.827948e-02
0.975,7.374542e-02,6.029664e-02,8.906791e-01,1.519733e-02,-2.919786e-02
1.05,8.037195e-02,6.317081e-02,9.690798e-01,1.672864e-02,-3.011324e-02
1.125,8.695843e-02,6.673193e-02,1.036577e+00,1.826326e-02,-3.198626e-02
1.2,9.476592e-02,7.060540e-02,1.098980e+00,1.989680e-02,-2.938076e-02
1.275,1.020793e-01,7.447509e-02,1.166067e+00,2.156831e-02,-2.779430e-02
1.3499999999999999,1.085938e-01,7.853013e-02,1.241224e+00,2.317851e-02,-2.677929e-02
1.425,1.165024e-01,8.244238e-02,1.305629e+00,2.480621e-02,-2.690176e-02
1.5,1.238087e-01,8.631074e-02,1.373800e+00,2.650379e-02,-3.086186e-02
1.575,1.322606e-01,9.038259e-02,1.448864e+00,2.826363e-02,-3.017661e-02
1.65,1.403987e-01,9.410189e-02,1.523718e+00,3.009650e-02,-2.993802e-02
1.7249999999999999,1.477893e-01,9.744243e-02,1.597263e+00,3.202989e-02,-3.024571e-02
1.7999999999999998,1.552004e-01,1.005985e-01,1.675443e+00,3.398755e-02,-2.700619e-02
1.875,1.587912e-01,1.036851e-01,1.748630e+00,3.604735e-02,-2.758522e-02
1.95,1.640258e-01,1.071718e-01,1.820016e+00,3.818233e-02,-2.897696e-02
2.025,1.698909e-01,1.109270e-01,1.904175e+00,4.032946e-02,-2.876764e-02
2.1,1.743724e-01,1.150954e-01,2.007961e+00,4.236409e-02,-3.106785e-02
2.175,1.783637e-01,1.187314e-01,2.115806e+00,4.432943e-02,-3.426990e-02
2.25,1.850450e-01,1.218705e-01,2.205404e+00,4.617516e-02,-3.600230e-02
2.3249999999999997,1.933961e-01,1.254208e-01,2.285477e+00,4.810304e-02,-3.759965e-02
2.4,2.027428e-01,1.295691e-01,2.374761e+00,5.006332e-02,-4.040359e-02
2.475,2.090771e-01,1.334395e-01,2.478596e+00,5.207602e-02,-4.417169e-02
2.55,2.174177e-01,1.372836e-01,2.582368e+00,5.424933e-02,-4.181318e-02
2.625,2.260093e-01,1.413419e-01,2.685610e+00,5.649332e-02,-4.151926e-02
2.6999999999999997,2.366578e-01,1.455474e-01,2.797443e+00,5.878901e-02,-4.080348e-02
2.775,2.463818e-01,1.490398e-01,2.905649e+00,6.117049e-02,-4.290298e-02
2.85,2.546779e-01,1.528112e-01,3.014596e+00,6.351953e-02,-4.875194e-02
2.925,2.637943e-01,1.561345e-01,3.118120e+00,6.582505e-02,-5.259273e-02
3.0,2.722764e-01,1.601691e-01,3.222817e+00,6.820075e-02,-5.562658e-02
3.0749999999999997,2.790267e-01,1.645842e-01,3.328685e+00,7.073870e-02,-5.984722e-02
3.15,2.879863e-01,1.692682e-01,3.439896e+00,7.334328e-02,-5.911949e-02
3.225,2.938182e-01,1.742940e-01,3.530383e+00,7.590920e-02,-6.363204e-02
3.3,3.025006e-01,1.793265e-01,3.641185e+00,7.854171e-02,-6.509014e-02
3.375,3.114434e-01,1.846099e-01,3.752347e+00,8.121182e-02,-7.019394e-02
3.4499999999999997,3.200782e-01,1.897485e-01,3.850054e+00,8.392359e-02,-7.685087e-02
3.525,3.310674e-01,1.947166e-01,3.950148e+00,8.662991e-02,-7.808207e-02
3.5999999999999996,3.412705e-01,2.003150e-01,4.038633e+00,8.931611e-02,-8.425693e-02
3.675,3.539703e-01,2.059608e-01,4.131804e+00,9.190415e-02,-8.732752e-02
3.75,3.672526e-01,2.117985e-01,4.214060e+00,9.448044e-02,-8.813029e-02
