lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.910052e-02,7.552856e-03,1.622824e-01,4.074850e-03,6.197754e-03
0.15,3.149730e-02,1.491338e-02,2.791597e-01,7.690866e-03,-1.230379e-02
0.22499999999999998,4.203191e-02,2.215109e-02,4.003695e-01,1.208567e-02,-1.613165e-02
0.3,5.342426e-02,2.919491e-02,5.407103e-01,1.623504e-02,-2.780651e-02
0.375,6.648087e-02,3.690887e-02,6.733995e-01,2.071503e-02,-3.569014e-02
0.44999999999999996,7.707857e-02,4.524721e-02,8.243395e-01,2.514511e-02,-3.688942e-02
0.525,9.074231e-02,5.354292e-02,9.305465e-01,2.994745e-02,-4.598046e-02
0.6,1.030639e-01,6.028080e-02,1.024479e+00,3.482323e-02,-4.372418e-02
0.6749999999999999,1.170145e-01,6.783454e-02,1.114949e+00,3.978774e-02,-4.600566e-02
0.75,1.293426e-01,7.521394e-02,1.201046e+00,4.438606e-02,-4.959496e-02
0.825,1.401116e-01,8.243903e-02,1.255191e+00,4.973319e-02,-5.732579e-02
0.8999999999999999,1.519189e-01,8.971893e-02,1.330692e+00,5.481176e-02,-6.396449e-02
0.975,1.670905e-01,9.657672e-02,1.393517e+00,5.952394e-02,-7.453723e-02
1.05,1.791627e-01,1.031798e-01,1.482685e+00,6.364253e-02,-8.054832e-02
1.125,1.925045e-01,1.092260e-01,1.566875e+00,6.747136e-02,-8.965670e-02
1.2,2.068123e-01,1.166076e-01,1.641204e+00,7.104680e-02,-9.109967e-02
1.275,2.173260e-01,1.228634e-01,1.699680e+00,7.369220e-02,-9.279629e-02
1.3499999999999999,2.270206e-01,1.284742e-01,1.747700e+00,7.604809e-02,-9.196977e-02
1.425,2.442182e-01,1.348571e-01,1.819927e+00,7.853162e-02,-9.093474e-02
1.5,2.597557e-01,1.398605e-01,1.904625e+00,8.015635e-02,-1.026077e-01
1.575,2.773020e-01,1.439334e-01,1.987566e+00,8.144020e-02,-1.069434e-01
1.65,2.940008e-01,1.470362e-01,2.086702e+00,8.204664e-02,-1.171575e-01
1.7249999999999999,3.130564e-01,1.493853e-01,2.228105e+00,8.252142e-02,-1.314333e-01
1.7999999999999998,3.305304e-01,1.523079e-01,2.351045e+00,8.339533e-02,-1.402489e-01
1.875,3.510635e-01,1.556978e-01,2.461666e+00,8.441813e-02,-1.494718e-01
1.95,3.686348e-01,1.593328e-01,2.560490e+00,8.636802e-02,-1.631264e-01
2.025,3.872558e-01,1.626578e-01,2.679276e+00,8.775813e-02,-1.732832e-01
2.1,4.047998e-01,1.661995e-01,2.808437e+00,8.940866e-02,-1.880696e-01
2.175,4.216803e-01,1.699072e-01,2.930704e+00,9.071836e-02,-1.959678e-01
2.25,4.360761e-01,1.742803e-01,3.009345e+00,9.234850e-02,-2.098308e-01
2.3249999999999997,4.586406e-01,1.786566e-01,3.107719e+00,9.385973e-02,-2.244629e-01
2.4,4.789803e-01,1.829588e-01,3.215273e+00,9.555678e-02,-2.454710e-01
2.475,5.005133e-01,1.860183e-01,3.317905e+00,9.664708e-02,-2.639204e-01
2.55,5.225739e-01,1.900560e-01,3.417143e+00,9.842433e-02,-2.820025e-01
2.625,5.416340e-01,1.935952e-01,3.520550e+00,9.967679e-02,-2.962868e-01
2.6999999999999997,5.563199e-01,1.969562e-01,3.614251e+00,1.013168e-01,-3.049696e-01
2.775,5.713654e-01,1.999384e-01,3.679608e+00,1.033802e-01,-3.176422e-01
2.85,5.894167e-01,2.023429e-01,3.770187e+00,1.048941e-01,-3.242108e-01
2.925,6.075284e-01,2.046042e-01,3.840859e+00,1.062964e-01,-3.350850e-01
3.0,6.226765e-01,2.072395e-01,3.902919e+00,1.069160e-01,-3.472745e-01
3.0749999999999997,6.380865e-01,2.091538e-01,3.959159e+00,1.073938e-01,-3.617753e-01
3.15,6.540973e-01,2.104847e-01,4.033893e+00,1.077005e-01,-3.754379e-01
3.225,6.726616e-01,2.114049e-01,4.091642e+00,1.073989e-01,-3.905147e-01
3.3,6.904905e-01,2.120297e-01,4.144837e+00,1.072184e-01,-4.086149e-01
3.375,7.119851e-01,2.141646e-01,4.215056e+00,1.079913e-01,-4.134805e-01
3.4499999999999997,7.279413e-01,2.181617e-01,4.233449e+00,1.101749e-01,-4.166673e-01
3.525,7.433630e-01,2.228990e-01,4.276202e+00,1.123559e-01,-4.150073e-01
3.5999999999999996,7.602500e-01,2.283140e-01,4.277441e+00,1.153183e-01,-4.223098e-01
3.675,7.809261e-01,2.322590e-01,4.308250e+00,1.181011e-01,-4.214120e-01
3.75,8.022202e-01,2.364167e-01,4.321154e+00,1.212036e-01,-4.230814e-01
