lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,1.949973e-02,7.570569e-03,2.238512e-01,1.367423e-03,1.403375e-02
0.15,2.985053e-02,1.584536e-02,3.557211e-01,2.792665e-03,-6.547723e-03
0.22499999999999998,4.186664e-02,2.419365e-02,4.978901e-01,4.357804e-03,-1.554890e-02
0.3,5.101119e-02,3.218569e-02,6.504723e-01,6.029813e-03,-2.858718e-02
0.375,5.643349e-02,3.981624e-02,7.990281e-01,7.739334e-03,-5.041274e-02
0.44999999999999996,6.296951e-02,4.691060e-02,9.728439e-01,9.614587e-03,-6.861580e-02
0.525,6.632101e-02,5.442626e-02,1.113719e+00,1.158977e-02,-9.635733e-02
0.6,7.339798e-02,6.210140e-02,1.269194e+00,1.368177e-02,-1.160159e-01
0.6749999999999999,7.922905e-02,6.991889e-02,1.446601e+00,1.578511e-02,-1.333337e-01
0.75,8.244683e-02,7.886923e-02,1.597404e+00,1.769317e-02,-1.509296e-01
0.825,8.880619e-02,8.853043e-02,1.751207e+00,1.961381e-02,-1.618655e-01
0.8999999999999999,8.980904e-02,9.766404e-02,1.896621e+00,2.161707e-02,-1.800790e-01
0.975,9.483489e-02,1.065645e-01,2.034456e+00,2.330275e-02,-1.861625e-01
1.05,9.716176e-02,1.142102e-01,2.188776e+00,2.476883e-02,-1.987511e-01
1.125,1.040229e-01,1.213753e-01,2.330614e+00,2.625471e-02,-2.044818e-01
1.2,1.082894e-01,1.284226e-01,2.430030e+00,2.782450e-02,-2.194026e-01
1.275,1.147035e-01,1.352980e-01,2.546133e+00,2.949244e-02,-2.356483e-01
1.3499999999999999,1.215150e-01,1.416317e-01,2.673381e+00,3.101631e-02,-2.449029e-01
1.425,1.253731e-01,1.484919e-01,2.773669e+00,3.239189e-02,-2.534049e-01
1.5,1.300401e-01,1.563997e-01,2.885833e+00,3.362698e-02,-2.638428e-01
1.575,1.359716e-01,1.638089e-01,3.007337e+00,3.476496e-02,-2.765528e-01
1.65,1.415542e-01,1.709103e-01,3.158907e+00,3.582909e-02,-2.949218e-01
1.7249999999999999,1.462709e-01,1.780338e-01,3.279716e+00,3.667406e-02,-3.072706e-01
1.7999999999999998,1.498865e-01,1.847419e-01,3.398414e+00,3.748248e-02,-3.197487e-01
1.875,1.511185e-01,1.908119e-01,3.532982e+00,3.801792e-02,-3.269745e-01
1.95,1.493770e-01,1.971101e-01,3.641553e+00,3.851990e-02,-3.409534e-01
2.025,1.491817e-01,2.033828e-01,3.787960e+00,3.927069e-02,-3.511233e-01
2.1,1.503649e-01,2.095229e-01,3.887072e+00,4.009722e-02,-3.667235e-01
2.175,1.561285e-01,2.157339e-01,3.969177e+00,4.096739e-02,-3.725917e-01
2.25,1.617693e-01,2.215378e-01,4.076139e+00,4.189871e-02,-3.795481e-01
2.3249999999999997,1.669393e-01,2.275226e-01,4.208193e+00,4.283846e-02,-3.815492e-01
2.4,1.672372e-01,2.341562e-01,4.283196e+00,4.393570e-02,-3.827415e-01
2.475,1.671693e-01,2.415969e-01,4.410848e+00,4.498079e-02,-3.838769e-01
2.55,1.682864e-01,2.492815e-01,4.540711e+00,4.592321e-02,-3.885176e-01
2.625,1.688129e-01,2.580152e-01,4.694065e+00,4.681195e-02,-3.852735e-01
2.6999999999999997,1.711611e-01,2.665773e-01,4.813918e+00,4.797181e-02,-3.773168e-01
2.775,1.735252e-01,2.753404e-01,4.916514e+00,4.934067e-02,-3.755973e-01
2.85,1.745444e-01,2.839031e-01,5.043490e+00,5.066896e-02,-3.869702e-01
2.925,1.779403e-01,2.917499e-01,5.122902e+00,5.194881e-02,-3.935690e-01
3.0,1.800885e-01,2.994888e-01,5.216253e+00,5.314927e-02,-4.061213e-01
3.0749999999999997,1.852183e-01,3.082214e-01,5.340056e+00,5.416199e-02,-4.204291e-01
3.15,1.876452e-01,3.172952e-01,5.428225e+00,5.535150e-02,-4.367987e-01
3.225,1.942870e-01,3.258470e-01,5.506877e+00,5.676493e-02,-4.439888e-01
3.3,1.987383e-01,3.343033e-01,5.614589e+00,5.811280e-02,-4.509701e-01
3.375,2.036346e-01,3.427822e-01,5.675594e+00,5.959865e-02,-4.697843e-01
3.4499999999999997,2.085596e-01,3.506925e-01,5.805018e+00,6.124676e-02,-4.880728e-01
3.525,2.147491e-01,3.584444e-01,5.980917e+00,6.324490e-02,-5.020394e-01
3.5999999999999996,2.186873e-01,3.651668e-01,6.128833e+00,6.530234e-02,-5.191614e-01
3.675,2.231407e-01,3.705011e-01,6.288141e+00,6.735537e-02,-5.404775e-01
3.75,2.264107e-01,3.757798e-01,6.472077e+00,6.958930e-02,-5.685506e-01
