lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,7.691564e-03,3.787931e-03,1.863209e-01,2.128752e-03,3.552641e-03
0.15,1.249743e-02,7.983919e-03,2.152499e-01,4.578059e-03,6.072575e-04
0.22499999999999998,1.733874e-02,1.201104e-02,2.712460e-01,6.982640e-03,2.918317e-03
0.3,2.142263e-02,1.590044e-02,2.960404e-01,9.263983e-03,2.638735e-03
0.375,2.544182e-02,1.975358e-02,3.319999e-01,1.147803e-02,2.061601e-03
0.44999999999999996,2.955076e-02,2.357544e-02,3.558351e-01,1.364452e-02,9.673361e-05
0.525,3.388560e-02,2.697716e-02,3.940415e-01,1.585309e-02,-8.097141e-04
0.6,3.935861e-02,3.050364e-02,4.072812e-01,1.837476e-02,4.055858e-04
0.6749999999999999,4.480381e-02,3.400494e-02,4.631788e-01,2.062848e-02,1.345809e-04
0.75,4.972267e-02,3.743118e-02,4.955552e-01,2.277845e-02,-1.265877e-03
0.825,5.431572e-02,4.091728e-02,5.223644e-01,2.483805e-02,1.896640e-03
0.8999999999999999,5.717372e-02,4.448915e-02,5.906075e-01,2.682394e-02,2.352393e-03
0.975,6.139087e-02,4.774210e-02,6.340076e-01,2.870723e-02,2.396116e-03
1.05,6.360580e-02,5.086869e-02,6.912063e-01,3.046970e-02,5.060936e-03
1.125,6.570466e-02,5.445404e-02,6.898923e-01,3.247764e-02,6.365156e-03
1.2,6.882115e-02,5.816387e-02,7.087692e-01,3.470749e-02,9.309733e-03
1.275,7.288594e-02,6.183358e-02,7.339948e-01,3.691330e-02,1.124728e-02
1.3499999999999999,7.538446e-02,6.513060e-02,7.553339e-01,3.909100e-02,1.326015e-02
1.425,7.861617e-02,6.820761e-02,7.942575e-01,4.120647e-02,1.832978e-02
1.5,8.064844e-02,7.168265e-02,8.220182e-01,4.370859e-02,1.823603e-02
1.575,8.263155e-02,7.520961e-02,8.444234e-01,4.594298e-02,1.702394e-02
1.65,8.535180e-02,7.909119e-02,8.829382e-01,4.857433e-02,1.315051e-02
1.7249999999999999,8.767247e-02,8.320519e-02,9.060121e-01,5.112607e-02,1.041502e-02
1.7999999999999998,9.168406e-02,8.743759e-02,9.320641e-01,5.358613e-02,1.009921e-02
1.875,9.381533e-02,9.133775e-02,9.504000e-01,5.573142e-02,9.686307e-03
1.95,9.654841e-02,9.506141e-02,9.954979e-01,5.763016e-02,1.109740e-02
2.025,1.003079e-01,9.871797e-02,1.003289e+00,5.966218e-02,8.693727e-03
2.1,1.036767e-01,1.019904e-01,9.960404e-01,6.158309e-02,3.810274e-03
2.175,1.058168e-01,1.055604e-01,1.022989e+00,6.347123e-02,-1.301954e-03
2.25,1.079463e-01,1.086993e-01,1.013047e+00,6.511643e-02,-6.114362e-03
2.3249999999999997,1.098093e-01,1.120696e-01,1.037673e+00,6.703007e-02,-1.202206e-02
2.4,1.118447e-01,1.150165e-01,1.019846e+00,6.884709e-02,-1.793319e-02
2.475,1.133190e-01,1.177471e-01,1.031386e+00,7.033826e-02,-2.502821e-02
2.55,1.143355e-01,1.212014e-01,1.034204e+00,7.190682e-02,-2.713298e-02
2.625,1.162045e-01,1.249065e-01,1.047278e+00,7.355419e-02,-2.821381e-02
2.6999999999999997,1.173428e-01,1.288619e-01,1.042523e+00,7.531484e-02,-2.864110e-02
2.775,1.178254e-01,1.333257e-01,1.059230e+00,7.760723e-02,-3.083179e-02
2.85,1.184879e-01,1.378995e-01,1.054706e+00,8.002650e-02,-3.460390e-02
2.925,1.192191e-01,1.425218e-01,1.034255e+00,8.238428e-02,-4.120545e-02
3.0,1.199805e-01,1.467659e-01,1.041354e+00,8.448124e-02,-4.247623e-02
3.0749999999999997,1.203112e-01,1.513176e-01,1.053814e+00,8.665306e-02,-5.022507e-02
3.15,1.211476e-01,1.557247e-01,1.035749e+00,8.875882e-02,-5.578643e-02
3.225,1.206080e-01,1.604939e-01,1.012156e+00,9.093514e-02,-6.428266e-02
3.3,1.202891e-01,1.657962e-01,9.988757e-01,9.336971e-02,-6.804066e-02
3.375,1.195722e-01,1.713834e-01,9.810221e-01,9.587134e-02,-7.371383e-02
3.4499999999999997,1.199104e-01,1.769494e-01,9.721473e-01,9.830883e-02,-8.002584e-02
3.525,1.211251e-01,1.826197e-01,9.403718e-01,1.008533e-01,-8.509126e-02
3.5999999999999996,1.218618e-01,1.882560e-01,9.239320e-01,1.034256e-01,-9.070500e-02
3.675,1.218357e-01,1.939888e-01,9.162736e-01,1.058704e-01,-9.782805e-02
3.75,1.225243e-01,2.001712e-01,8.850835e-01,1.084296e-01,-1.011788e-01
