lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,3.651163e-02,1.502490e-02,2.284550e-01,2.240983e-03,1.542004e-02
0.15,5.512791e-02,3.191509e-02,3.948013e-01,4.829928e-03,-1.021761e-02
0.22499999999999998,8.093188e-02,4.821208e-02,5.568899e-01,7.171605e-03,-8.068933e-03
0.3,1.007662e-01,6.553203e-02,6.860161e-01,9.364343e-03,-1.519305e-02
0.375,1.246038e-01,8.330865e-02,8.211335e-01,1.152430e-02,-1.311825e-02
0.44999999999999996,1.485778e-01,1.010753e-01,9.676783e-01,1.357069e-02,-1.791327e-02
0.525,1.694804e-01,1.198942e-01,1.107739e+00,1.523750e-02,-2.097749e-02
0.6,1.895226e-01,1.378799e-01,1.276801e+00,1.676945e-02,-2.623797e-02
0.6749999999999999,2.073845e-01,1.546121e-01,1.428034e+00,1.815322e-02,-2.848146e-02
0.75,2.218606e-01,1.718799e-01,1.598399e+00,1.952373e-02,-4.009326e-02
0.825,2.489763e-01,1.895823e-01,1.788016e+00,2.075233e-02,-6.122952e-02
0.8999999999999999,2.761650e-01,2.074785e-01,1.978888e+00,2.178309e-02,-8.894272e-02
0.975,2.978486e-01,2.240086e-01,2.202885e+00,2.317405e-02,-9.933956e-02
1.05,3.185645e-01,2.423704e-01,2.379734e+00,2.456859e-02,-1.113981e-01
1.125,3.404359e-01,2.612149e-01,2.541186e+00,2.583019e-02,-1.199719e-01
1.2,3.681771e-01,2.779715e-01,2.743510e+00,2.668317e-02,-1.262720e-01
1.275,3.897976e-01,2.973464e-01,2.949568e+00,2.740027e-02,-1.305373e-01
1.3499999999999999,4.154029e-01,3.169364e-01,3.151867e+00,2.829809e-02,-1.296566e-01
1.425,4.390379e-01,3.348539e-01,3.395364e+00,2.915588e-02,-1.425394e-01
1.5,4.650758e-01,3.526981e-01,3.652505e+00,2.994766e-02,-1.422581e-01
1.575,4.904048e-01,3.704968e-01,3.925311e+00,3.094471e-02,-1.497069e-01
1.65,5.107904e-01,3.907925e-01,4.240974e+00,3.190026e-02,-1.464891e-01
1.7249999999999999,5.282534e-01,4.132375e-01,4.500887e+00,3.269940e-02,-1.304401e-01
1.7999999999999998,5.468443e-01,4.364218e-01,4.710107e+00,3.313174e-02,-1.133899e-01
1.875,5.708689e-01,4.612308e-01,4.933901e+00,3.345276e-02,-1.070496e-01
1.95,6.022647e-01,4.878954e-01,5.161856e+00,3.350950e-02,-9.068385e-02
2.025,6.213258e-01,5.136454e-01,5.380620e+00,3.379880e-02,-7.874007e-02
2.1,6.538552e-01,5.420970e-01,5.649403e+00,3.408475e-02,-6.513139e-02
2.175,6.841204e-01,5.691488e-01,5.876667e+00,3.421103e-02,-6.865576e-02
2.25,7.247194e-01,5.945348e-01,6.130657e+00,3.446604e-02,-4.663548e-02
2.3249999999999997,7.592169e-01,6.183550e-01,6.366359e+00,3.488281e-02,-3.814746e-02
2.4,7.970683e-01,6.398199e-01,6.597959e+00,3.520690e-02,-1.099003e-02
2.475,8.344684e-01,6.606712e-01,6.777396e+00,3.556305e-02,7.348007e-03
2.55,8.745865e-01,6.810449e-01,6.989634e+00,3.575035e-02,3.613744e-02
2.625,9.227519e-01,6.994304e-01,7.197554e+00,3.631889e-02,6.285057e-02
2.6999999999999997,9.768834e-01,7.162989e-01,7.394365e+00,3.711948e-02,7.460445e-02
2.775,1.024652e+00,7.314183e-01,7.640020e+00,3.749728e-02,8.194561e-02
2.85,1.072259e+00,7.515715e-01,7.924315e+00,3.785796e-02,7.973130e-02
2.925,1.119865e+00,7.736093e-01,8.163499e+00,3.870241e-02,8.256010e-02
3.0,1.170397e+00,7.935054e-01,8.373567e+00,3.972749e-02,8.979997e-02
3.0749999999999997,1.216580e+00,8.135648e-01,8.526766e+00,4.091123e-02,1.062887e-01
3.15,1.260116e+00,8.341047e-01,8.734383e+00,4.190008e-02,1.229211e-01
3.225,1.311326e+00,8.569682e-01,8.962215e+00,4.262971e-02,1.284162e-01
3.3,1.361266e+00,8.835566e-01,9.217170e+00,4.341243e-02,1.467324e-01
3.375,1.413995e+00,9.113693e-01,9.463062e+00,4.445291e-02,1.475739e-01
3.4499999999999997,1.463348e+00,9.401924e-01,9.713084e+00,4.528612e-02,1.518248e-01
3.525,1.517247e+00,9.699343e-01,9.976295e+00,4.641173e-02,1.549693e-01
3.5999999999999996,1.559288e+00,1.000469e+00,1.021190e+01,4.786515e-02,1.486380e-01
3.675,1.605973e+00,1.030527e+00,1.048256e+01,4.919612e-02,1.488491e-01
3.75,1.650969e+00,1.060974e+00,1.071632e+01,5.082399e-02,1.526731e-01
