lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,2.480878e-02,1.944982e-02,2.618745e-01,1.215838e-02,4.943853e-03
0.15,4.672738e-02,4.135263e-02,5.026082e-01,2.665414e-02,8.642374e-03
0.22499999999999998,7.074549e-02,6.252284e-02,7.370622e-01,4.245972e-02,4.005237e-02
0.3,9.512952e-02,7.726046e-02,1.081870e+00,5.526286e-02,6.363161e-02
0.375,1.139777e-01,8.689612e-02,1.456890e+00,6.440461e-02,8.998018e-02
0.44999999999999996,1.362841e-01,9.949998e-02,1.759143e+00,7.601213e-02,1.008931e-01
0.525,1.684855e-01,1.136279e-01,2.088624e+00,8.875067e-02,1.023329e-01
0.6,1.966166e-01,1.236100e-01,2.425624e+00,1.007528e-01,1.009828e-01
0.6749999999999999,2.310694e-01,1.307786e-01,2.752608e+00,1.106732e-01,1.053959e-01
0.75,2.669905e-01,1.382581e-01,2.942295e+00,1.171298e-01,9.842412e-02
0.825,2.924214e-01,1.506392e-01,3.150595e+00,1.290948e-01,9.795759e-02
0.8999999999999999,3.215577e-01,1.662406e-01,3.416845e+00,1.439550e-01,1.043091e-01
0.975,3.413144e-01,1.849087e-01,3.654199e+00,1.632736e-01,1.044373e-01
1.05,3.756438e-01,1.984867e-01,3.903802e+00,1.816290e-01,1.215677e-01
1.125,4.135998e-01,2.086869e-01,4.218139e+00,1.959958e-01,1.150130e-01
1.2,4.676650e-01,2.192596e-01,4.455210e+00,2.069258e-01,1.112795e-01
1.275,5.081455e-01,2.274851e-01,4.654016e+00,2.172988e-01,1.069150e-01
1.3499999999999999,5.425172e-01,2.364398e-01,4.857134e+00,2.296176e-01,8.074513e-02
1.425,5.757000e-01,2.513702e-01,5.053947e+00,2.431952e-01,5.662518e-02
1.5,6.221002e-01,2.683670e-01,5.247810e+00,2.539889e-01,4.394881e-02
1.575,6.797734e-01,2.854740e-01,5.352781e+00,2.658014e-01,6.168558e-03
1.65,7.410865e-01,3.024590e-01,5.389321e+00,2.769982e-01,-2.335303e-02
1.7249999999999999,7.957683e-01,3.147939e-01,5.416608e+00,2.910931e-01,-4.421181e-02
1.7999999999999998,8.366951e-01,3.279782e-01,5.380951e+00,3.071373e-01,-9.506794e-02
1.875,8.727192e-01,3.416479e-01,5.481207e+00,3.221706e-01,-1.185604e-01
1.95,9.100540e-01,3.583570e-01,5.496473e+00,3.354432e-01,-1.774797e-01
2.025,9.621381e-01,3.714153e-01,5.531091e+00,3.470908e-01,-1.936635e-01
2.1,1.008611e+00,3.813869e-01,5.618924e+00,3.571550e-01,-2.191714e-01
2.175,1.064709e+00,3.929944e-01,5.742135e+00,3.715601e-01,-2.320760e-01
2.25,1.122841e+00,4.015246e-01,5.766050e+00,3.879179e-01,-2.069891e-01
2.3249999999999997,1.176494e+00,4.166121e-01,5.797837e+00,4.078593e-01,-1.719390e-01
2.4,1.222545e+00,4.311312e-01,5.884612e+00,4.308772e-01,-1.414789e-01
2.475,1.246724e+00,4.483337e-01,5.851777e+00,4.521701e-01,-1.444256e-01
2.55,1.255670e+00,4.665807e-01,5.820299e+00,4.746486e-01,-1.285722e-01
2.625,1.286062e+00,4.885904e-01,5.812892e+00,4.989633e-01,-8.991085e-02
2.6999999999999997,1.299284e+00,5.173705e-01,5.776223e+00,5.263808e-01,-6.365898e-02
2.775,1.298891e+00,5.529341e-01,5.726511e+00,5.554320e-01,-3.797908e-02
2.85,1.314974e+00,5.866052e-01,5.742045e+00,5.841391e-01,6.054171e-02
2.925,1.316934e+00,6.175616e-01,5.676932e+00,6.174978e-01,1.627697e-01
3.0,1.358057e+00,6.458815e-01,5.618880e+00,6.462344e-01,2.777713e-01
3.0749999999999997,1.403477e+00,6.734991e-01,5.521406e+00,6.779591e-01,3.978242e-01
3.15,1.436600e+00,7.021805e-01,5.456271e+00,7.103607e-01,5.446886e-01
3.225,1.472886e+00,7.264545e-01,5.338508e+00,7.398572e-01,6.437756e-01
3.3,1.497972e+00,7.549110e-01,5.131408e+00,7.749367e-01,7.379036e-01
3.375,1.519695e+00,7.792621e-01,5.007905e+00,8.052773e-01,8.419441e-01
3.4499999999999997,1.551080e+00,7.987698e-01,4.980743e+00,8.304614e-01,9.391180e-01
3.525,1.572092e+00,8.164753e-01,4.986650e+00,8.510505e-01,1.027740e+00
3.5999999999999996,1.591289e+00,8.263933e-01,5.114050e+00,8.703935e-01,1.121511e+00
3.675,1.614189e+00,8.359465e-01,5.283093e+00,8.893908e-01,1.261261e+00
3.75,1.629140e+00,8.424039e-01,5.559818e+00,9.129456e-01,1.414848e+00
