lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,2.259733e-02,1.103181e-02,0.000000e+00
0.375,4.367278e-02,2.124109e-02,4.510281e-03
0.5625,6.669665e-02,3.032765e-02,9.258260e-03
0.75,8.574821e-02,3.758523e-02,1.345648e-02
0.9375,1.044887e-01,4.598635e-02,1.726649e-02
1.125,1.210311e-01,5.430168e-02,2.049703e-02
1.3125,1.375558e-01,6.237670e-02,2.333152e-02
1.5,1.516792e-01,7.070686e-02,2.670857e-02
1.6875,1.650648e-01,8.073617e-02,3.017315e-02
1.875,1.722079e-01,9.011212e-02,3.403194e-02
2.0625,1.778085e-01,1.005957e-01,3.675440e-02
2.25,1.856007e-01,1.116838e-01,3.922932e-02
2.4375,1.921371e-01,1.225850e-01,4.223097e-02
2.625,1.990834e-01,1.323997e-01,4.518613e-02
2.8125,2.074485e-01,1.415293e-01,4.744360e-02
3.0,2.093434e-01,1.531304e-01,4.954917e-02
3.1875,2.159762e-01,1.656502e-01,5.155591e-02
3.375,2.283346e-01,1.780096e-01,5.314759e-02
3.5625,2.442218e-01,1.891856e-01,5.430678e-02
3.75,2.544098e-01,1.988044e-01,5.587494e-02
3.9375,2.626458e-01,2.098609e-01,5.764183e-02
4.125,2.682065e-01,2.205598e-01,5.945238e-02
4.3125,2.785390e-01,2.302311e-01,6.125817e-02
4.5,2.821635e-01,2.398079e-01,6.229380e-02
4.6875,2.912853e-01,2.506464e-01,6.297669e-02
4.875,3.009299e-01,2.620029e-01,6.294579e-02
5.0625,3.083020e-01,2.710516e-01,6.265355e-02
5.25,3.161682e-01,2.781800e-01,6.307653e-02
5.4375,3.260187e-01,2.852374e-01,6.343209e-02
5.625,3.336357e-01,2.907595e-01,6.382038e-02
5.8125,3.437590e-01,2.940475e-01,6.433365e-02
6.0,3.498088e-01,2.971507e-01,6.463335e-02
6.1875,3.595001e-01,3.030460e-01,6.500888e-02
6.375,3.664211e-01,3.081650e-01,6.535524e-02
6.5625,3.729998e-01,3.117219e-01,6.651648e-02
6.75,3.811365e-01,3.145001e-01,6.780590e-02
6.9375,3.852193e-01,3.178595e-01,6.933290e-02
7.125,3.848794e-01,3.205708e-01,7.078667e-02
7.3125,3.846739e-01,3.249727e-01,7.285456e-02
7.5,3.864056e-01,3.289290e-01,7.485347e-02
7.6875,3.923441e-01,3.336630e-01,7.728698e-02
7.875,4.010645e-01,3.377987e-01,7.941107e-02
8.0625,4.110531e-01,3.397682e-01,8.164323e-02
8.25,4.252646e-01,3.423473e-01,8.418690e-02
8.4375,4.370043e-01,3.451020e-01,8.668339e-02
8.625,4.454455e-01,3.483645e-01,8.887747e-02
8.8125,4.572214e-01,3.528030e-01,9.106378e-02
9.0,4.678894e-01,3.559126e-01,9.271035e-02
9.1875,4.803235e-01,3.619564e-01,9.434881e-02
9.375,4.937140e-01,3.684341e-01,9.678532e-02
