lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,2.158309e-02,1.070548e-02,0.000000e+00
0.375,3.738749e-02,2.044984e-02,2.801892e-03
0.5625,5.537766e-02,2.804246e-02,5.445651e-03
0.75,6.648071e-02,3.560914e-02,7.945275e-03
0.9375,7.708220e-02,4.443527e-02,1.053810e-02
1.125,8.623091e-02,5.234687e-02,1.296571e-02
1.3125,9.898388e-02,5.755387e-02,1.525940e-02
1.5,1.091140e-01,6.094958e-02,1.752403e-02
1.6875,1.190176e-01,6.542661e-02,2.036039e-02
1.875,1.276278e-01,7.013624e-02,2.293515e-02
2.0625,1.324135e-01,7.365378e-02,2.543747e-02
2.25,1.401514e-01,7.775501e-02,2.799396e-02
2.4375,1.514089e-01,8.269552e-02,3.054414e-02
2.625,1.596407e-01,8.835732e-02,3.306102e-02
2.8125,1.675008e-01,9.352622e-02,3.570740e-02
3.0,1.727985e-01,1.006802e-01,3.801944e-02
3.1875,1.837818e-01,1.083992e-01,4.038976e-02
3.375,1.963852e-01,1.150094e-01,4.257765e-02
3.5625,2.093151e-01,1.229052e-01,4.449323e-02
3.75,2.191364e-01,1.300414e-01,4.694016e-02
3.9375,2.276653e-01,1.358079e-01,4.926425e-02
4.125,2.360688e-01,1.419570e-01,5.177192e-02
4.3125,2.455705e-01,1.483442e-01,5.416973e-02
4.5,2.579545e-01,1.556943e-01,5.665538e-02
4.6875,2.704474e-01,1.642803e-01,5.906244e-02
4.875,2.817825e-01,1.724315e-01,6.169119e-02
5.0625,2.917310e-01,1.807316e-01,6.462995e-02
5.25,3.013342e-01,1.885715e-01,6.776083e-02
5.4375,3.137728e-01,1.936598e-01,7.102414e-02
5.625,3.244517e-01,1.962281e-01,7.449726e-02
5.8125,3.315830e-01,2.000868e-01,7.807214e-02
6.0,3.355547e-01,2.029581e-01,8.110886e-02
6.1875,3.386169e-01,2.055800e-01,8.386550e-02
6.375,3.448085e-01,2.073671e-01,8.637245e-02
6.5625,3.533408e-01,2.111159e-01,8.890613e-02
6.75,3.605596e-01,2.142959e-01,9.169467e-02
6.9375,3.630600e-01,2.147903e-01,9.463377e-02
7.125,3.659344e-01,2.182580e-01,9.728960e-02
7.3125,3.681799e-01,2.212715e-01,9.976655e-02
7.5,3.724311e-01,2.240207e-01,1.024893e-01
7.6875,3.795191e-01,2.292248e-01,1.050204e-01
7.875,3.864085e-01,2.368244e-01,1.071015e-01
8.0625,3.893985e-01,2.448086e-01,1.089316e-01
8.25,3.918355e-01,2.531985e-01,1.111010e-01
8.4375,3.908759e-01,2.602329e-01,1.130443e-01
8.625,3.956031e-01,2.668995e-01,1.146945e-01
8.8125,4.043455e-01,2.716213e-01,1.160847e-01
9.0,4.123644e-01,2.773897e-01,1.180338e-01
9.1875,4.126294e-01,2.826848e-01,1.203297e-01
9.375,4.168093e-01,2.875948e-01,1.221936e-01
