lag time [sec], MSD-longitudinal [um^2],MSD-transverse [um^2],MSAD-longitudinal [rad^2], MSAD-transverse [rad^2],MLAD [um x rad]
0.075,5.743047e-02,1.843036e-02,0.000000e+00,0.000000e+00,3.710859e-03
0.15,9.189368e-02,3.717486e-02,2.986086e-01,5.812654e-03,-2.269587e-03
0.22499999999999998,1.293701e-01,5.522491e-02,4.717580e-01,1.152753e-02,1.520470e-03
0.3,1.631994e-01,7.045428e-02,6.709311e-01,1.717150e-02,4.697298e-03
0.375,1.918705e-01,8.680428e-02,7.846194e-01,2.313442e-02,-1.933092e-03
0.44999999999999996,2.320046e-01,1.055455e-01,8.746019e-01,2.875374e-02,-2.974137e-03
0.525,2.664374e-01,1.238812e-01,9.155012e-01,3.416376e-02,-3.292961e-04
0.6,2.885322e-01,1.424543e-01,1.014465e+00,3.848098e-02,9.514213e-03
0.6749999999999999,3.171987e-01,1.599250e-01,1.189727e+00,4.292296e-02,7.328042e-03
0.75,3.414458e-01,1.788611e-01,1.352713e+00,4.799244e-02,2.312141e-02
0.825,3.447479e-01,1.989465e-01,1.540333e+00,5.287596e-02,1.866796e-02
0.8999999999999999,3.655099e-01,2.177468e-01,1.598606e+00,5.854670e-02,7.262326e-03
0.975,3.741484e-01,2.361655e-01,1.674939e+00,6.357622e-02,-3.178847e-02
1.05,3.903999e-01,2.537990e-01,1.755167e+00,6.877769e-02,-5.488802e-02
1.125,4.068126e-01,2.734307e-01,1.838736e+00,7.406584e-02,-6.818126e-02
1.2,4.316319e-01,2.919838e-01,1.981431e+00,7.935486e-02,-8.733654e-02
1.275,4.742826e-01,3.071016e-01,2.165046e+00,8.512110e-02,-9.296007e-02
1.3499999999999999,5.083077e-01,3.201508e-01,2.331313e+00,9.039839e-02,-1.082859e-01
1.425,5.382405e-01,3.327389e-01,2.466283e+00,9.657617e-02,-1.273770e-01
1.5,5.666929e-01,3.444002e-01,2.653529e+00,1.038842e-01,-1.612782e-01
1.575,6.085322e-01,3.552884e-01,2.823397e+00,1.117053e-01,-1.775027e-01
1.65,6.423786e-01,3.684670e-01,2.994294e+00,1.200308e-01,-2.076733e-01
1.7249999999999999,6.886455e-01,3.830017e-01,3.177564e+00,1.287590e-01,-2.232209e-01
1.7999999999999998,7.209652e-01,3.960677e-01,3.403034e+00,1.370400e-01,-2.461747e-01
1.875,7.555403e-01,4.097753e-01,3.571960e+00,1.455791e-01,-2.614667e-01
1.95,7.715885e-01,4.241916e-01,3.759006e+00,1.531447e-01,-2.989135e-01
2.025,7.867936e-01,4.400569e-01,3.929713e+00,1.603827e-01,-3.493416e-01
2.1,8.127567e-01,4.575488e-01,4.084245e+00,1.683450e-01,-3.967281e-01
2.175,8.342221e-01,4.777331e-01,4.242685e+00,1.768584e-01,-4.617155e-01
2.25,8.516612e-01,4.980033e-01,4.393228e+00,1.856058e-01,-4.968214e-01
2.3249999999999997,8.679700e-01,5.194323e-01,4.626969e+00,1.945665e-01,-5.329892e-01
2.4,8.950627e-01,5.414462e-01,4.837427e+00,2.042262e-01,-5.788959e-01
2.475,9.150015e-01,5.636842e-01,5.040993e+00,2.136878e-01,-6.346592e-01
2.55,9.389449e-01,5.848427e-01,5.271218e+00,2.229466e-01,-7.027721e-01
2.625,9.633397e-01,6.084084e-01,5.499923e+00,2.319553e-01,-7.701080e-01
2.6999999999999997,9.901026e-01,6.332348e-01,5.670543e+00,2.422632e-01,-8.153786e-01
2.775,1.028181e+00,6.571162e-01,5.873211e+00,2.528949e-01,-8.684864e-01
2.85,1.061570e+00,6.799971e-01,6.108530e+00,2.651557e-01,-9.021273e-01
2.925,1.105361e+00,7.037039e-01,6.306130e+00,2.776593e-01,-9.298456e-01
3.0,1.157957e+00,7.269768e-01,6.456282e+00,2.901059e-01,-9.836955e-01
3.0749999999999997,1.195963e+00,7.488322e-01,6.641804e+00,3.021326e-01,-1.026936e+00
3.15,1.232044e+00,7.705478e-01,6.808564e+00,3.127150e-01,-1.104801e+00
3.225,1.264011e+00,7.917923e-01,6.972147e+00,3.231171e-01,-1.175312e+00
3.3,1.291849e+00,8.124005e-01,7.113701e+00,3.343351e-01,-1.236109e+00
3.375,1.322499e+00,8.330265e-01,7.335058e+00,3.447047e-01,-1.269952e+00
3.4499999999999997,1.349118e+00,8.537359e-01,7.482679e+00,3.554727e-01,-1.329140e+00
3.525,1.374000e+00,8.764026e-01,7.673618e+00,3.660172e-01,-1.370136e+00
3.5999999999999996,1.395624e+00,8.997340e-01,7.912826e+00,3.769994e-01,-1.417362e+00
3.675,1.403896e+00,9.209050e-01,8.137531e+00,3.875698e-01,-1.474004e+00
3.75,1.436419e+00,9.421550e-01,8.375182e+00,3.979346e-01,-1.518414e+00
