lag time [sec], MSD-longitudinal [um^2],MSD-transverse [um^2],MSAD-longitudinal [rad^2], MSAD-transverse [rad^2],MLAD [um x rad]
0.075,3.079482e-01,1.284468e-01,0.000000e+00,0.000000e+00,-1.308985e-03
0.15,3.482877e-01,1.699537e-01,3.593038e-01,6.207250e-03,-5.412985e-03
0.22499999999999998,4.019137e-01,2.112530e-01,5.126222e-01,1.036780e-02,6.965109e-03
0.3,4.000664e-01,2.614427e-01,6.596139e-01,1.497819e-02,-1.152910e-02
0.375,4.594086e-01,3.036221e-01,8.196624e-01,1.944302e-02,3.032218e-02
0.44999999999999996,4.875524e-01,3.490823e-01,9.505738e-01,2.452625e-02,2.016329e-02
0.525,5.277331e-01,3.949446e-01,1.040452e+00,2.912795e-02,3.535034e-02
0.6,5.646330e-01,4.487356e-01,1.230201e+00,3.396080e-02,3.162968e-02
0.6749999999999999,6.070345e-01,5.046689e-01,1.371563e+00,3.905604e-02,3.217501e-02
0.75,6.399896e-01,5.577070e-01,1.512628e+00,4.404760e-02,3.548434e-02
0.825,6.886838e-01,6.134218e-01,1.615478e+00,4.887080e-02,1.583012e-02
0.8999999999999999,7.009043e-01,6.660740e-01,1.736968e+00,5.407243e-02,3.767339e-02
0.975,7.355701e-01,7.246907e-01,1.819947e+00,5.851229e-02,4.910983e-02
1.05,7.773613e-01,7.841544e-01,1.953590e+00,6.311369e-02,4.991483e-02
1.125,8.031006e-01,8.456173e-01,2.035249e+00,6.803758e-02,5.586026e-02
1.2,8.599787e-01,9.109994e-01,2.118836e+00,7.298451e-02,7.200465e-02
1.275,9.028515e-01,9.771552e-01,2.233059e+00,7.847306e-02,7.577453e-02
1.3499999999999999,9.423410e-01,1.048839e+00,2.300147e+00,8.460573e-02,6.373646e-02
1.425,9.726898e-01,1.121961e+00,2.401004e+00,9.075067e-02,7.388592e-02
1.5,9.962776e-01,1.199475e+00,2.422609e+00,9.680255e-02,7.901034e-02
1.575,1.045190e+00,1.274282e+00,2.478655e+00,1.039966e-01,6.835424e-02
1.65,1.100618e+00,1.348939e+00,2.518629e+00,1.106320e-01,5.305866e-02
1.7249999999999999,1.130751e+00,1.423271e+00,2.515277e+00,1.164962e-01,3.817859e-02
1.7999999999999998,1.178389e+00,1.501516e+00,2.517335e+00,1.227569e-01,3.011289e-02
1.875,1.221226e+00,1.580071e+00,2.535654e+00,1.294972e-01,4.421594e-02
1.95,1.236999e+00,1.650625e+00,2.527088e+00,1.359203e-01,4.011117e-02
2.025,1.264104e+00,1.723579e+00,2.528190e+00,1.411745e-01,3.385208e-02
2.1,1.295233e+00,1.789729e+00,2.511446e+00,1.473039e-01,3.248144e-02
2.175,1.368654e+00,1.859120e+00,2.517218e+00,1.539208e-01,1.836528e-02
2.25,1.375726e+00,1.934844e+00,2.478743e+00,1.603889e-01,1.050796e-02
2.3249999999999997,1.445532e+00,2.004702e+00,2.453274e+00,1.671302e-01,-6.500551e-03
2.4,1.496672e+00,2.068734e+00,2.476737e+00,1.741817e-01,-1.985107e-02
2.475,1.542987e+00,2.137158e+00,2.463674e+00,1.814706e-01,-2.913691e-02
2.55,1.585848e+00,2.201539e+00,2.470728e+00,1.890582e-01,-3.054105e-02
2.625,1.610161e+00,2.263985e+00,2.492321e+00,1.972007e-01,-3.873548e-02
2.6999999999999997,1.648816e+00,2.327183e+00,2.495807e+00,2.050828e-01,-4.786125e-02
2.775,1.697051e+00,2.395502e+00,2.484722e+00,2.132595e-01,-2.441714e-02
2.85,1.710043e+00,2.462746e+00,2.521587e+00,2.223281e-01,-1.807596e-02
2.925,1.767012e+00,2.524166e+00,2.518415e+00,2.312233e-01,-2.959086e-02
3.0,1.757870e+00,2.580250e+00,2.596944e+00,2.400124e-01,-3.749830e-02
3.0749999999999997,1.798014e+00,2.634953e+00,2.631912e+00,2.490072e-01,-5.558053e-02
3.15,1.811367e+00,2.683827e+00,2.683830e+00,2.570033e-01,-5.240031e-02
3.225,1.836386e+00,2.745498e+00,2.741390e+00,2.659485e-01,-2.025637e-02
3.3,1.849445e+00,2.802128e+00,2.789533e+00,2.743632e-01,5.866868e-03
3.375,1.887265e+00,2.857048e+00,2.854187e+00,2.832868e-01,-1.633207e-02
3.4499999999999997,1.903455e+00,2.915171e+00,2.962894e+00,2.918028e-01,-2.086887e-02
3.525,1.919193e+00,2.971621e+00,3.036967e+00,3.002177e-01,-3.962085e-02
3.5999999999999996,1.946275e+00,3.032954e+00,3.182861e+00,3.081069e-01,-3.193253e-02
3.675,1.954750e+00,3.089154e+00,3.285755e+00,3.162682e-01,-2.470463e-02
3.75,1.944203e+00,3.144952e+00,3.366379e+00,3.245891e-01,7.682806e-03
