lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,2.258442e-02,6.406357e-03,0.000000e+00
0.375,3.706241e-02,1.210596e-02,1.199463e-03
0.5625,4.844223e-02,1.604666e-02,2.541663e-03
0.75,6.038177e-02,2.074064e-02,4.025038e-03
0.9375,6.752375e-02,2.574593e-02,5.501160e-03
1.125,7.679792e-02,3.061656e-02,7.089977e-03
1.3125,8.285870e-02,3.454277e-02,8.751083e-03
1.5,8.882945e-02,3.859224e-02,1.042994e-02
1.6875,9.292709e-02,4.272671e-02,1.193785e-02
1.875,9.992288e-02,4.582867e-02,1.351536e-02
2.0625,1.043292e-01,4.767122e-02,1.518007e-02
2.25,1.068029e-01,5.090338e-02,1.686936e-02
2.4375,1.118291e-01,5.394765e-02,1.870331e-02
2.625,1.177735e-01,5.663712e-02,2.052874e-02
2.8125,1.260552e-01,6.108685e-02,2.263541e-02
3.0,1.397897e-01,6.451072e-02,2.468377e-02
3.1875,1.504131e-01,6.813133e-02,2.687822e-02
3.375,1.635534e-01,7.268404e-02,2.909722e-02
3.5625,1.805304e-01,7.650518e-02,3.130246e-02
3.75,1.951426e-01,8.030554e-02,3.349373e-02
3.9375,2.074577e-01,8.445315e-02,3.567946e-02
4.125,2.202621e-01,8.849311e-02,3.806361e-02
4.3125,2.274817e-01,9.251277e-02,4.060659e-02
4.5,2.379861e-01,9.523717e-02,4.325597e-02
4.6875,2.490701e-01,9.912377e-02,4.593648e-02
4.875,2.593143e-01,1.038714e-01,4.875136e-02
5.0625,2.742303e-01,1.088047e-01,5.159517e-02
5.25,2.894048e-01,1.143175e-01,5.457210e-02
5.4375,3.043663e-01,1.201507e-01,5.758768e-02
5.625,3.171319e-01,1.254712e-01,6.064505e-02
5.8125,3.288487e-01,1.311388e-01,6.385501e-02
6.0,3.430465e-01,1.367752e-01,6.713194e-02
6.1875,3.530358e-01,1.433900e-01,7.051554e-02
6.375,3.646664e-01,1.511972e-01,7.393943e-02
6.5625,3.759996e-01,1.573778e-01,7.737192e-02
6.75,3.887692e-01,1.632361e-01,8.093516e-02
6.9375,4.012660e-01,1.703059e-01,8.459352e-02
7.125,4.120827e-01,1.757220e-01,8.838291e-02
7.3125,4.295121e-01,1.811546e-01,9.212455e-02
7.5,4.503130e-01,1.875615e-01,9.600048e-02
7.6875,4.706129e-01,1.938100e-01,1.000784e-01
7.875,4.847338e-01,2.013571e-01,1.041774e-01
8.0625,4.976741e-01,2.079927e-01,1.082907e-01
8.25,5.118288e-01,2.150471e-01,1.124707e-01
8.4375,5.234810e-01,2.220906e-01,1.166885e-01
8.625,5.354691e-01,2.283172e-01,1.208890e-01
8.8125,5.444410e-01,2.361756e-01,1.253328e-01
9.0,5.590337e-01,2.430237e-01,1.300081e-01
9.1875,5.643835e-01,2.484795e-01,1.346709e-01
9.375,5.717158e-01,2.551122e-01,1.391091e-01
