lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-longitudinal [rad^2], MSAD-transversal [rad^2],MLAD [um x rad]
0.075,3.227518e-02,2.369404e-02,0.000000e+00,0.000000e+00,6.391441e-03
0.15,6.579641e-02,5.091917e-02,3.176842e-01,8.618027e-03,6.690509e-03
0.22499999999999998,9.008623e-02,7.835481e-02,5.095088e-01,1.921037e-02,5.483897e-03
0.3,1.166720e-01,1.089998e-01,6.560058e-01,3.058180e-02,1.044665e-02
0.375,1.408000e-01,1.404593e-01,8.214341e-01,4.152788e-02,1.321925e-02
0.44999999999999996,1.629570e-01,1.712155e-01,1.010737e+00,5.425859e-02,2.318557e-02
0.525,1.867879e-01,2.028070e-01,1.248537e+00,6.771617e-02,3.047010e-02
0.6,2.099801e-01,2.352429e-01,1.452415e+00,8.142660e-02,3.390774e-02
0.6749999999999999,2.340070e-01,2.665364e-01,1.651203e+00,9.576823e-02,2.989226e-02
0.75,2.576546e-01,2.947912e-01,1.864444e+00,1.101033e-01,1.884202e-02
0.825,2.764403e-01,3.214551e-01,2.072743e+00,1.244640e-01,1.207342e-02
0.8999999999999999,2.948706e-01,3.454583e-01,2.262916e+00,1.394130e-01,1.376298e-02
0.975,3.137723e-01,3.701172e-01,2.470323e+00,1.554029e-01,1.379290e-02
1.05,3.262718e-01,3.954923e-01,2.696665e+00,1.716109e-01,1.525807e-03
1.125,3.383592e-01,4.200692e-01,2.947691e+00,1.879972e-01,-1.348162e-03
1.2,3.511623e-01,4.467258e-01,3.171826e+00,2.044813e-01,-1.511413e-02
1.275,3.613017e-01,4.766233e-01,3.338212e+00,2.216972e-01,-1.871411e-02
1.3499999999999999,3.792825e-01,5.073639e-01,3.589076e+00,2.394022e-01,-2.238748e-02
1.425,3.991884e-01,5.366645e-01,3.822150e+00,2.575177e-01,-3.269539e-02
1.5,4.206490e-01,5.655504e-01,4.035373e+00,2.758424e-01,-2.656568e-02
1.575,4.458781e-01,5.963546e-01,4.291235e+00,2.945377e-01,-2.672413e-02
1.65,4.692921e-01,6.250693e-01,4.580719e+00,3.136807e-01,-2.018119e-02
1.7249999999999999,4.980215e-01,6.563120e-01,4.906587e+00,3.324304e-01,-1.934052e-02
1.7999999999999998,5.310881e-01,6.899978e-01,5.198671e+00,3.508293e-01,-2.693553e-02
1.875,5.602823e-01,7.264765e-01,5.504882e+00,3.702485e-01,-4.069415e-02
1.95,5.928087e-01,7.629840e-01,5.857498e+00,3.894348e-01,-5.273006e-02
2.025,6.240933e-01,7.998605e-01,6.166778e+00,4.091001e-01,-6.523298e-02
2.1,6.533974e-01,8.344797e-01,6.493286e+00,4.281847e-01,-8.133231e-02
2.175,6.871505e-01,8.694820e-01,6.829595e+00,4.492668e-01,-9.896873e-02
2.25,7.213558e-01,9.048425e-01,7.166197e+00,4.717310e-01,-1.234680e-01
2.3249999999999997,7.515709e-01,9.383329e-01,7.505050e+00,4.954663e-01,-1.470214e-01
2.4,7.781686e-01,9.723738e-01,7.867135e+00,5.189942e-01,-1.626006e-01
2.475,8.017474e-01,1.004796e+00,8.187672e+00,5.424442e-01,-1.717531e-01
2.55,8.258668e-01,1.033283e+00,8.574790e+00,5.655476e-01,-1.851068e-01
2.625,8.543429e-01,1.061884e+00,8.943431e+00,5.882370e-01,-2.062109e-01
2.6999999999999997,8.872806e-01,1.093888e+00,9.320658e+00,6.110974e-01,-2.260810e-01
2.775,9.145077e-01,1.130455e+00,9.764936e+00,6.339020e-01,-2.513902e-01
2.85,9.424189e-01,1.168662e+00,1.018111e+01,6.575447e-01,-2.677883e-01
2.925,9.743341e-01,1.206079e+00,1.064177e+01,6.817969e-01,-2.805306e-01
3.0,1.001365e+00,1.244307e+00,1.107128e+01,7.074605e-01,-2.977903e-01
3.0749999999999997,1.029150e+00,1.278746e+00,1.146322e+01,7.331784e-01,-3.163193e-01
3.15,1.059336e+00,1.311962e+00,1.195731e+01,7.590563e-01,-3.392650e-01
3.225,1.093033e+00,1.345919e+00,1.240582e+01,7.853596e-01,-3.662727e-01
3.3,1.131189e+00,1.377457e+00,1.287492e+01,8.121637e-01,-3.832289e-01
3.375,1.167235e+00,1.409306e+00,1.332339e+01,8.395290e-01,-3.915010e-01
3.4499999999999997,1.204925e+00,1.440009e+00,1.379173e+01,8.664513e-01,-4.035171e-01
3.525,1.242828e+00,1.471056e+00,1.426032e+01,8.926856e-01,-4.167105e-01
3.5999999999999996,1.285226e+00,1.503696e+00,1.478450e+01,9.198148e-01,-4.453362e-01
3.675,1.328514e+00,1.535383e+00,1.528490e+01,9.461534e-01,-4.758185e-01
3.75,1.367710e+00,1.566525e+00,1.580255e+01,9.737337e-01,-5.033687e-01
