lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,1.870303e-02,8.447247e-03,2.042068e-03
0.375,3.858625e-02,1.736754e-02,4.230583e-03
0.5625,6.012203e-02,2.736879e-02,6.174097e-03
0.75,8.137942e-02,3.750162e-02,7.688600e-03
0.9375,9.861433e-02,4.856132e-02,9.335642e-03
1.125,1.157724e-01,5.994199e-02,1.098047e-02
1.3125,1.293649e-01,7.140379e-02,1.252961e-02
1.5,1.411430e-01,8.390382e-02,1.379719e-02
1.6875,1.531217e-01,9.672399e-02,1.490836e-02
1.875,1.670249e-01,1.106611e-01,1.619754e-02
2.0625,1.816340e-01,1.246878e-01,1.778518e-02
2.25,1.978086e-01,1.382516e-01,1.957880e-02
2.4375,2.147611e-01,1.499584e-01,2.116482e-02
2.625,2.336711e-01,1.611690e-01,2.273165e-02
2.8125,2.510087e-01,1.712092e-01,2.402104e-02
3.0,2.705139e-01,1.808549e-01,2.563578e-02
3.1875,2.883751e-01,1.881424e-01,2.702810e-02
3.375,3.055878e-01,1.944589e-01,2.842333e-02
3.5625,3.228225e-01,2.031136e-01,3.002351e-02
3.75,3.426115e-01,2.140842e-01,3.176995e-02
3.9375,3.636217e-01,2.254771e-01,3.382308e-02
4.125,3.838506e-01,2.376044e-01,3.640388e-02
4.3125,4.063942e-01,2.507730e-01,3.865800e-02
4.5,4.287335e-01,2.648546e-01,4.081225e-02
4.6875,4.540063e-01,2.791949e-01,4.311837e-02
4.875,4.780001e-01,2.940901e-01,4.518113e-02
5.0625,4.950331e-01,3.095969e-01,4.734700e-02
5.25,5.104296e-01,3.237845e-01,4.969857e-02
5.4375,5.200808e-01,3.377611e-01,5.200248e-02
5.625,5.309691e-01,3.524312e-01,5.430264e-02
5.8125,5.475810e-01,3.664448e-01,5.680951e-02
6.0,5.654770e-01,3.807584e-01,5.922027e-02
6.1875,5.856903e-01,3.944908e-01,6.153161e-02
6.375,6.067931e-01,4.070889e-01,6.345690e-02
6.5625,6.286122e-01,4.204866e-01,6.512639e-02
6.75,6.501498e-01,4.329602e-01,6.665681e-02
6.9375,6.703167e-01,4.453266e-01,6.852379e-02
7.125,6.913022e-01,4.560624e-01,6.996962e-02
7.3125,7.153911e-01,4.680287e-01,7.132163e-02
7.5,7.425116e-01,4.785574e-01,7.265084e-02
7.6875,7.710862e-01,4.909071e-01,7.400608e-02
7.875,7.983419e-01,5.061740e-01,7.548657e-02
8.0625,8.276644e-01,5.213675e-01,7.698198e-02
8.25,8.624947e-01,5.356286e-01,7.819113e-02
8.4375,8.957181e-01,5.518305e-01,7.939310e-02
8.625,9.256703e-01,5.686025e-01,8.059868e-02
8.8125,9.530932e-01,5.859843e-01,8.117787e-02
9.0,9.827434e-01,6.038470e-01,8.174685e-02
9.1875,1.010987e+00,6.224548e-01,8.229058e-02
9.375,1.041837e+00,6.415345e-01,8.220945e-02
