lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,1.680359e-02,4.074187e-03,9.505859e-04
0.375,2.891494e-02,7.489643e-03,1.645731e-03
0.5625,4.018610e-02,1.144451e-02,2.582844e-03
0.75,4.570924e-02,1.722864e-02,3.153972e-03
0.9375,5.118187e-02,2.228769e-02,3.619545e-03
1.125,5.893755e-02,2.793908e-02,3.833137e-03
1.3125,7.230239e-02,3.333258e-02,4.003009e-03
1.5,8.389818e-02,3.940545e-02,4.243792e-03
1.6875,9.770505e-02,4.585562e-02,4.469579e-03
1.875,1.119671e-01,5.166987e-02,4.780357e-03
2.0625,1.224156e-01,5.644432e-02,4.767791e-03
2.25,1.258825e-01,5.974211e-02,5.340056e-03
2.4375,1.259139e-01,6.342987e-02,5.844782e-03
2.625,1.217410e-01,6.628015e-02,6.219689e-03
2.8125,1.260121e-01,6.690252e-02,6.034804e-03
3.0,1.332701e-01,6.871201e-02,5.848566e-03
3.1875,1.382689e-01,6.840470e-02,5.768014e-03
3.375,1.413566e-01,6.534319e-02,5.752123e-03
3.5625,1.412974e-01,6.126194e-02,5.926043e-03
3.75,1.449114e-01,5.521490e-02,6.128403e-03
3.9375,1.476255e-01,5.035027e-02,6.099130e-03
4.125,1.541602e-01,4.495500e-02,6.002424e-03
4.3125,1.609430e-01,3.834383e-02,6.349106e-03
4.5,1.645399e-01,3.117987e-02,6.909307e-03
4.6875,1.687794e-01,2.799764e-02,7.265059e-03
4.875,1.677875e-01,2.615788e-02,7.721476e-03
5.0625,1.721155e-01,2.358160e-02,7.784875e-03
5.25,1.743879e-01,2.412010e-02,8.089407e-03
5.4375,1.833736e-01,2.364061e-02,7.799656e-03
5.625,1.904417e-01,2.091047e-02,7.737292e-03
5.8125,2.035547e-01,2.037310e-02,6.959660e-03
6.0,2.118391e-01,1.819050e-02,6.301111e-03
6.1875,2.272701e-01,1.908272e-02,5.621111e-03
6.375,2.352066e-01,2.220045e-02,5.420129e-03
6.5625,2.559556e-01,2.220274e-02,5.125178e-03
6.75,2.772765e-01,2.587258e-02,4.816719e-03
6.9375,2.995497e-01,2.864997e-02,4.178003e-03
7.125,3.225254e-01,3.179654e-02,3.862907e-03
7.3125,3.433645e-01,3.501558e-02,3.790596e-03
7.5,3.605341e-01,4.033302e-02,3.829960e-03
7.6875,3.828510e-01,4.602408e-02,4.393486e-03
7.875,4.048115e-01,4.987992e-02,4.428672e-03
8.0625,4.353626e-01,5.249267e-02,4.501405e-03
8.25,4.662255e-01,5.441347e-02,4.374204e-03
8.4375,4.884296e-01,5.362873e-02,4.466484e-03
8.625,5.069100e-01,5.009803e-02,4.264187e-03
8.8125,5.205163e-01,4.611393e-02,3.566501e-03
9.0,5.417305e-01,4.271975e-02,3.100458e-03
9.1875,5.641634e-01,3.961856e-02,3.363774e-03
9.375,5.783307e-01,3.317720e-02,4.229379e-03
