lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,2.258442e-02,5.992424e-03,0.000000e+00
0.375,3.706241e-02,1.127103e-02,1.178154e-03
0.5625,4.844223e-02,1.667348e-02,2.454936e-03
0.75,6.038177e-02,2.124515e-02,3.935014e-03
0.9375,6.752375e-02,2.567906e-02,5.385024e-03
1.125,7.679792e-02,3.054665e-02,6.631894e-03
1.3125,8.285870e-02,3.521981e-02,7.721932e-03
1.5,8.882945e-02,4.045128e-02,8.733108e-03
1.6875,9.292709e-02,4.582113e-02,9.771156e-03
1.875,9.992288e-02,5.009330e-02,1.064700e-02
2.0625,1.043292e-01,5.564665e-02,1.166704e-02
2.25,1.068029e-01,6.062934e-02,1.250371e-02
2.4375,1.118291e-01,6.755149e-02,1.319616e-02
2.625,1.177735e-01,7.395242e-02,1.379341e-02
2.8125,1.260552e-01,8.133665e-02,1.427853e-02
3.0,1.397897e-01,9.027237e-02,1.464145e-02
3.1875,1.504131e-01,9.864648e-02,1.506390e-02
3.375,1.635534e-01,1.053421e-01,1.554082e-02
3.5625,1.805304e-01,1.115748e-01,1.610577e-02
3.75,1.951426e-01,1.179956e-01,1.671209e-02
3.9375,2.074577e-01,1.238212e-01,1.710370e-02
4.125,2.202621e-01,1.296044e-01,1.758202e-02
4.3125,2.274817e-01,1.348714e-01,1.794898e-02
4.5,2.379861e-01,1.397367e-01,1.813806e-02
4.6875,2.490701e-01,1.454043e-01,1.832366e-02
4.875,2.593143e-01,1.510722e-01,1.863932e-02
5.0625,2.742303e-01,1.579303e-01,1.891959e-02
5.25,2.894048e-01,1.666072e-01,1.911439e-02
5.4375,3.043663e-01,1.743214e-01,1.941701e-02
5.625,3.171319e-01,1.826428e-01,1.981494e-02
5.8125,3.288487e-01,1.897547e-01,2.017090e-02
6.0,3.430465e-01,1.970003e-01,2.048342e-02
6.1875,3.530358e-01,2.026019e-01,2.072941e-02
6.375,3.646664e-01,2.093623e-01,2.084788e-02
6.5625,3.759996e-01,2.172815e-01,2.071850e-02
6.75,3.887692e-01,2.241798e-01,2.056560e-02
6.9375,4.012660e-01,2.295831e-01,2.026544e-02
7.125,4.120827e-01,2.352829e-01,2.004623e-02
7.3125,4.295121e-01,2.407991e-01,1.994108e-02
7.5,4.503130e-01,2.465100e-01,1.983105e-02
7.6875,4.706129e-01,2.522111e-01,1.969877e-02
7.875,4.847338e-01,2.594940e-01,1.962943e-02
8.0625,4.976741e-01,2.651405e-01,1.956474e-02
8.25,5.118288e-01,2.694621e-01,1.959115e-02
8.4375,5.234810e-01,2.713972e-01,1.970823e-02
8.625,5.354691e-01,2.734360e-01,1.998071e-02
8.8125,5.444410e-01,2.743981e-01,2.044792e-02
9.0,5.590337e-01,2.754674e-01,2.080847e-02
9.1875,5.643835e-01,2.762255e-01,2.112426e-02
9.375,5.717158e-01,2.766899e-01,2.117623e-02
