lag time [sec], MSD-longitudinal [um^2],MSD-transversal [um^2],MSAD-transversal [rad^2]
0.1875,3.959159e-02,1.134110e-02,0.000000e+00
0.375,5.573282e-02,2.171679e-02,4.482945e-03
0.5625,7.464188e-02,3.316522e-02,7.730759e-03
0.75,9.632625e-02,4.300606e-02,1.073562e-02
0.9375,1.109358e-01,5.349603e-02,1.434657e-02
1.125,1.277470e-01,6.168178e-02,1.677823e-02
1.3125,1.454375e-01,7.054087e-02,2.004345e-02
1.5,1.593491e-01,7.700994e-02,2.248227e-02
1.6875,1.710936e-01,8.502169e-02,2.414413e-02
1.875,1.828987e-01,9.215596e-02,2.539618e-02
2.0625,1.924777e-01,1.007408e-01,2.664926e-02
2.25,2.032806e-01,1.047811e-01,2.780283e-02
2.4375,2.184475e-01,1.090612e-01,2.801788e-02
2.625,2.265966e-01,1.126639e-01,2.795744e-02
2.8125,2.394214e-01,1.170872e-01,2.826598e-02
3.0,2.520403e-01,1.235963e-01,2.804060e-02
3.1875,2.665406e-01,1.293244e-01,2.880241e-02
3.375,2.811089e-01,1.359250e-01,2.965742e-02
3.5625,2.973073e-01,1.441505e-01,3.080431e-02
3.75,3.145529e-01,1.516241e-01,3.263263e-02
3.9375,3.275991e-01,1.590080e-01,3.397210e-02
4.125,3.405951e-01,1.661153e-01,3.522030e-02
4.3125,3.561838e-01,1.731694e-01,3.746343e-02
4.5,3.706881e-01,1.825104e-01,3.915519e-02
4.6875,3.882934e-01,1.937000e-01,4.008164e-02
4.875,4.015402e-01,2.060628e-01,4.015557e-02
5.0625,4.104347e-01,2.198706e-01,3.949947e-02
5.25,4.248803e-01,2.338908e-01,3.906920e-02
5.4375,4.410540e-01,2.464919e-01,3.878631e-02
5.625,4.547156e-01,2.579193e-01,3.772317e-02
5.8125,4.664966e-01,2.696586e-01,3.689809e-02
6.0,4.751685e-01,2.823249e-01,3.714741e-02
6.1875,4.788658e-01,2.949835e-01,3.648900e-02
6.375,4.915915e-01,3.096084e-01,3.620261e-02
6.5625,5.012547e-01,3.232006e-01,3.588397e-02
6.75,5.071836e-01,3.370572e-01,3.610269e-02
6.9375,5.124539e-01,3.496408e-01,3.692163e-02
7.125,5.125470e-01,3.604179e-01,3.870602e-02
7.3125,5.136305e-01,3.726555e-01,4.076623e-02
7.5,5.207314e-01,3.876592e-01,4.136176e-02
7.6875,5.336655e-01,4.029936e-01,4.250909e-02
7.875,5.414795e-01,4.165458e-01,4.304394e-02
8.0625,5.496941e-01,4.290032e-01,4.245537e-02
8.25,5.515373e-01,4.420526e-01,4.282747e-02
8.4375,5.552820e-01,4.554406e-01,4.230949e-02
8.625,5.576461e-01,4.703189e-01,4.172548e-02
8.8125,5.653029e-01,4.826476e-01,4.136461e-02
9.0,5.681888e-01,4.937912e-01,4.008790e-02
9.1875,5.695642e-01,5.082603e-01,4.007939e-02
9.375,5.735961e-01,5.251080e-01,3.956639e-02
